Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1526547600.0,2018-05-17 09-AM,ETHUSD,698,704.78,696.31,702.1,48.58,34098.39
1526544000.0,2018-05-17 08-AM,ETHUSD,697,704.06,696.17,698,107.08,75103.12
1526540400.0,2018-05-17 07-AM,ETHUSD,708.2,711.15,695.05,697,112.41,79082.62
1526536800.0,2018-05-17 06-AM,ETHUSD,711.66,713.6,708.14,708.2,26.7,18997.23
1526533200.0,2018-05-17 05-AM,ETHUSD,712,712,706.88,711.66,57.06,40444.63
1526529600.0,2018-05-17 04-AM,ETHUSD,709.64,713,708,712,50.37,35782.73
1526526000.0,2018-05-17 03-AM,ETHUSD,712,721,709.64,709.64,336.79,241958.99
1526522400.0,2018-05-17 02-AM,ETHUSD,710,716.11,709.85,712,1481.17,1059397.76
1526518800.0,2018-05-17 01-AM,ETHUSD,709.7,714.41,706.15,710,68.26,48398.96
1526515200.0,2018-05-17 12-AM,ETHUSD,705.1,714.67,705.1,709.7,77.64,55119.8
1526511600.0,2018-05-16 11-PM,ETHUSD,696.29,707,696.29,705.1,55.38,38883.65
1526508000.0,2018-05-16 10-PM,ETHUSD,691,703.72,691,696.29,60.95,42598.63
1526504400.0,2018-05-16 09-PM,ETHUSD,694.3,695.01,690.68,691,40.45,28002.28
1526500800.0,2018-05-16 08-PM,ETHUSD,695.05,696.99,694.27,694.3,7.04,4900.75
1526497200.0,2018-05-16 07-PM,ETHUSD,695,704.88,692.11,695.05,46.58,32485.6
1526493600.0,2018-05-16 06-PM,ETHUSD,696,700.21,692.68,695,123.36,86090.66
1526490000.0,2018-05-16 05-PM,ETHUSD,695.05,700.91,690.18,696,87.58,61066.56
1526486400.0,2018-05-16 04-PM,ETHUSD,697.6,704.88,689,695.05,120.3,83612.17
1526482800.0,2018-05-16 03-PM,ETHUSD,686.86,704.14,686.86,697.6,176.04,122790.59
1526479200.0,2018-05-16 02-PM,ETHUSD,685.35,693,681.05,686.86,206.1,141405.58
1526475600.0,2018-05-16 01-PM,ETHUSD,703,706.74,679.07,685.35,240.06,165038.51
1526472000.0,2018-05-16 12-PM,ETHUSD,708.04,710.3,700,703,113.27,79981.17
1526468400.0,2018-05-16 11-AM,ETHUSD,700,710,699.95,708.04,72.52,51256.65
1526464800.0,2018-05-16 10-AM,ETHUSD,691.71,706.13,691.71,700,729.71,509632.54
1526461200.0,2018-05-16 09-AM,ETHUSD,688.81,691.71,682.7,691.71,52.03,35845.24
1526457600.0,2018-05-16 08-AM,ETHUSD,686.41,691.04,682.32,688.81,196.44,134624.25
1526454000.0,2018-05-16 07-AM,ETHUSD,686.5,694.91,684,686.41,300.69,207107.22
1526450400.0,2018-05-16 06-AM,ETHUSD,683.5,688,683.5,686.5,164.69,113073.27
1526446800.0,2018-05-16 05-AM,ETHUSD,686,686,677.07,683.5,211.48,144123.39
1526443200.0,2018-05-16 04-AM,ETHUSD,680,691.75,680,686,336.2,231197.84
1526439600.0,2018-05-16 03-AM,ETHUSD,676.5,690,676.5,680,296.17,202915.75
1526436000.0,2018-05-16 02-AM,ETHUSD,690,690,673.12,676.5,705.53,481415.34
1526432400.0,2018-05-16 01-AM,ETHUSD,701.91,702,688,690,363.44,251350.99
1526428800.0,2018-05-16 12-AM,ETHUSD,703.61,709.9,699.95,701.91,124.16,87169.81
1526425200.0,2018-05-15 11-PM,ETHUSD,698.49,708.37,697.79,703.61,68.42,48203.81
1526421600.0,2018-05-15 10-PM,ETHUSD,704.88,710.09,695,698.49,350.61,245497.0
1526418000.0,2018-05-15 09-PM,ETHUSD,709.86,713,703.65,704.88,66.42,47170.48
1526414400.0,2018-05-15 08-PM,ETHUSD,709.85,715.9,709.85,709.86,48.18,34322.5
1526410800.0,2018-05-15 07-PM,ETHUSD,711.25,715,704.88,709.85,97.4,69030.42
1526407200.0,2018-05-15 06-PM,ETHUSD,718,718,703.85,711.25,309.0,218415.04
1526403600.0,2018-05-15 05-PM,ETHUSD,725.91,727,714.39,718,60.39,43532.31
1526400000.0,2018-05-15 04-PM,ETHUSD,719,725.91,715.14,725.91,108.97,78607.92
1526396400.0,2018-05-15 03-PM,ETHUSD,711.5,719.89,704.88,719,507.92,363800.77
1526392800.0,2018-05-15 02-PM,ETHUSD,730.5,730.5,709,711.5,377.29,270371.25
1526389200.0,2018-05-15 01-PM,ETHUSD,733,736.1,727,730.5,275.2,201006.12
1526385600.0,2018-05-15 12-PM,ETHUSD,733.62,737.61,729.3,733,50.49,37067.7
1526382000.0,2018-05-15 11-AM,ETHUSD,735,738.99,728.5,733.62,122.11,89538.88
1526378400.0,2018-05-15 10-AM,ETHUSD,725.92,740,725.92,735,86.27,63254.19
1526374800.0,2018-05-15 09-AM,ETHUSD,729,733.29,725.92,725.92,61.84,45107.14
1526371200.0,2018-05-15 08-AM,ETHUSD,735.51,736,722.16,729,158.42,115741.03
1526367600.0,2018-05-15 07-AM,ETHUSD,731.68,740,731.46,735.51,183.24,134967.4
1526364000.0,2018-05-15 06-AM,ETHUSD,733,738,731.46,731.68,54.21,39839.42
1526360400.0,2018-05-15 05-AM,ETHUSD,727.79,733,727,733,99.72,72755.61
1526356800.0,2018-05-15 04-AM,ETHUSD,726.38,733.64,726.38,727.79,64.97,47356.07
1526353200.0,2018-05-15 03-AM,ETHUSD,726.38,729,720,726.38,45.84,33248.97
1526349600.0,2018-05-15 02-AM,ETHUSD,727,728.81,721.7,726.38,53.26,38691.27
1526346000.0,2018-05-15 01-AM,ETHUSD,728,730.68,717,727,246.83,177463.78
1526342400.0,2018-05-15 12-AM,ETHUSD,724.19,735.55,724.19,728,70.99,51904.45
1526338800.0,2018-05-14 11-PM,ETHUSD,719,730.08,717,724.19,51.86,37449.56
1526335200.0,2018-05-14 10-PM,ETHUSD,727.5,731.1,718.54,719,186.43,134926.99
1526331600.0,2018-05-14 09-PM,ETHUSD,738,742.1,727.5,727.5,180.53,132834.79
1526328000.0,2018-05-14 08-PM,ETHUSD,733.96,742.1,730.1,738,162.31,119863.88
1526324400.0,2018-05-14 07-PM,ETHUSD,732.79,738.89,729.06,733.96,241.49,177713.26
1526320800.0,2018-05-14 06-PM,ETHUSD,734.07,736,729.65,732.79,160.1,117147.77
1526317200.0,2018-05-14 05-PM,ETHUSD,730.85,734.66,726.64,734.07,116.69,85461.35
1526313600.0,2018-05-14 04-PM,ETHUSD,734,735.23,726.64,730.85,144.78,106044.0
1526310000.0,2018-05-14 03-PM,ETHUSD,730.08,735.2,720.42,734,327.97,238668.32
1526306400.0,2018-05-14 02-PM,ETHUSD,722,739,722,730.08,786.54,574618.75
1526302800.0,2018-05-14 01-PM,ETHUSD,706,730.17,684.1,722,592.9,420351.8
1526299200.0,2018-05-14 12-PM,ETHUSD,714.96,714.96,701,706,319.6,225118.74
1526295600.0,2018-05-14 11-AM,ETHUSD,709.79,715,709.79,714.96,108.44,77242.17
1526292000.0,2018-05-14 10-AM,ETHUSD,706,709.83,700.67,709.79,42.92,30261.54
1526288400.0,2018-05-14 09-AM,ETHUSD,711,711.5,701.59,706,375.16,265530.5
1526284800.0,2018-05-14 08-AM,ETHUSD,705.9,711.73,697.62,711,133.69,94416.57
1526281200.0,2018-05-14 07-AM,ETHUSD,706.83,706.83,692.1,705.9,323.0,225172.94
1526277600.0,2018-05-14 06-AM,ETHUSD,698.66,709.79,696,706.83,183.02,128793.44
1526274000.0,2018-05-14 05-AM,ETHUSD,699.82,700.41,686.89,698.66,202.25,139857.96
1526270400.0,2018-05-14 04-AM,ETHUSD,696.4,706.25,690,699.82,338.45,236015.53
1526266800.0,2018-05-14 03-AM,ETHUSD,718,722.48,691.64,696.4,846.22,594092.68
1526263200.0,2018-05-14 02-AM,ETHUSD,732.9,732.9,718,718,143.05,103500.67
